gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT03/1530954,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1530954?gameHash=40ecdfe6080da661,WCS,2020,,0,9/25/2020 7:42,1,10.19,1,Blue,top,Orome,oe:player:c96f08769340eec7fdf7ee5c193a81a,MAD Lions,oe:team:47ae4d96b0991cd0bc4271a5d03ebbf,Renekton,Bard,Orianna,Volibear,Shen,Ornn,2084,1,2,0,8,18,14,0,0,0,0,1,1,0,0,0.5182,0.9213,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4494,129.3858,0.0613005,559.8656,564.9904,17,0.4894,9,0.2591,9,40,1.1516,13892,9365,269.6257,0.219851,12975,,270,244,26,18,8,7.7735,3256,5002,86,2776,3766,64,480,1236,22,0,0,0,0,0,0,5383,7937,137,4433,5788,95,950,2149,42,1,0,0,1,0,1
ESPORTSTMNT03/1530954,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1530954?gameHash=40ecdfe6080da661,WCS,2020,,0,9/25/2020 7:42,1,10.19,2,Blue,jng,shad0w,oe:player:c332dc879e14f1feb266190c7f396fd,MAD Lions,oe:team:47ae4d96b0991cd0bc4271a5d03ebbf,Evelynn,Bard,Orianna,Volibear,Shen,Ornn,2084,1,4,5,6,18,14,0,0,0,0,1,0,1,0,0.5182,0.9213,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15563,448.071,0.212287,708.167,398.1478,23,0.6622,3,0.0864,16,40,1.1516,11784,7257,208.9347,0.170364,10885,,182,16,166,119,17,5.2399,2988,3185,61,3002,3341,64,-14,-156,-3,0,0,0,0,0,0,4742,5484,90,4764,5703,104,-22,-219,-14,0,2,1,0,2,1
ESPORTSTMNT03/1530954,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1530954?gameHash=40ecdfe6080da661,WCS,2020,,0,9/25/2020 7:42,1,10.19,3,Blue,mid,Humanoid,oe:player:edf8b064c096691e539b7e2a3e28179,MAD Lions,oe:team:47ae4d96b0991cd0bc4271a5d03ebbf,Lucian,Bard,Orianna,Volibear,Shen,Ornn,2084,1,4,3,9,18,14,0,0,0,0,0,0,0,0,0.5182,0.9213,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,23140,666.2188,0.315642,564.7889,311.0845,16,0.4607,10,0.2879,6,41,1.1804,15466,10939,314.9424,0.256802,15200,,308,266,42,25,5,8.8676,3446,4775,88,3111,4402,79,335,373,9,0,0,0,0,0,0,5696,7412,147,4996,6606,120,700,806,27,1,0,0,1,1,0
ESPORTSTMNT03/1530954,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1530954?gameHash=40ecdfe6080da661,WCS,2020,,0,9/25/2020 7:42,1,10.19,4,Blue,bot,Carzzy,oe:player:ec0c2b8d7630efba391c288765d4d7e,MAD Lions,oe:team:47ae4d96b0991cd0bc4271a5d03ebbf,Jhin,Bard,Orianna,Volibear,Shen,Ornn,2084,1,5,0,8,18,14,1,0,0,0,0,0,0,0,0.5182,0.9213,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,20400,587.3321,0.278267,267.4376,281.1132,21,0.6046,11,0.3167,11,40,1.1516,14686,10159,292.4856,0.238491,13575,,278,249,29,20,0,8.0038,3404,3239,95,3204,3407,85,200,-168,10,0,0,0,0,0,0,4890,5462,136,4753,5625,128,137,-163,8,0,0,0,0,1,0
ESPORTSTMNT03/1530954,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1530954?gameHash=40ecdfe6080da661,WCS,2020,,0,9/25/2020 7:42,1,10.19,5,Blue,sup,Kaiser,oe:player:ec0971fb900874b1c59179d9cd33687,MAD Lions,oe:team:47ae4d96b0991cd0bc4271a5d03ebbf,Pantheon,Bard,Orianna,Volibear,Shen,Ornn,2084,1,3,6,9,18,14,0,0,0,0,0,0,0,0,0.5182,0.9213,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9714,279.6737,0.132504,562.3129,303.6852,82,2.3608,24,0.691,15,139,4.0019,9404,4877,140.4127,0.114492,8955,,51,47,4,0,0,1.4683,2039,2454,12,2121,2657,14,-82,-203,-2,0,0,0,0,0,0,3144,3317,21,3097,3643,26,47,-326,-5,0,0,1,0,1,0
ESPORTSTMNT03/1530954,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1530954?gameHash=40ecdfe6080da661,WCS,2020,,0,9/25/2020 7:42,1,10.19,6,Red,top,Tay,oe:player:b04655f0821a30125d72a3442647875,INTZ,oe:team:bcb21457414eb9be1d27489ff7e8e59,Urgot,Lillia,Caitlyn,Akali,Thresh,Syndra,2084,0,9,2,3,14,18,2,1,0,0,0,0,0,1,0.4031,0.9213,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11490,330.8061,0.19724,481.5835,524.3954,16,0.4607,13,0.3743,6,40,1.1516,13498,8971,258.2821,0.278222,13750,,242,194,48,37,0,6.9674,2776,3766,64,3256,5002,86,-480,-1236,-22,0,0,0,0,0,0,4433,5788,95,5383,7937,137,-950,-2149,-42,1,0,1,1,0,0
ESPORTSTMNT03/1530954,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1530954?gameHash=40ecdfe6080da661,WCS,2020,,0,9/25/2020 7:42,1,10.19,7,Red,jng,Shini,oe:player:99f0996e8f487ec0633f1920bd4631d,INTZ,oe:team:bcb21457414eb9be1d27489ff7e8e59,Gragas,Lillia,Caitlyn,Akali,Thresh,Syndra,2084,0,3,4,8,14,18,0,0,0,0,0,0,0,0,0.4031,0.9213,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,16528,475.8541,0.283723,710.9885,528.714,23,0.6622,10,0.2879,8,49,1.4107,10546,6019,173.2917,0.18667,9560,,189,56,133,100,4,5.4415,3002,3341,64,2988,3185,61,14,156,3,0,0,0,0,0,0,4764,5703,104,4742,5484,90,22,219,14,0,2,1,0,2,1
ESPORTSTMNT03/1530954,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1530954?gameHash=40ecdfe6080da661,WCS,2020,,0,9/25/2020 7:42,1,10.19,8,Red,mid,Envy,oe:player:a672b5bc1c212a6922418fad18734c1,INTZ,oe:team:bcb21457414eb9be1d27489ff7e8e59,Tristana,Lillia,Caitlyn,Akali,Thresh,Syndra,2084,0,1,3,6,14,18,0,0,0,0,0,0,0,0,0.4031,0.9213,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8968,258.1958,0.153947,538.3301,288.8292,18,0.5182,14,0.4031,10,45,1.2956,12260,7733,222.6392,0.239827,12350,,286,282,4,4,0,8.2342,3111,4402,79,3446,4775,88,-335,-373,-9,0,0,0,0,0,0,4996,6606,120,5696,7412,147,-700,-806,-27,1,1,0,1,0,0
ESPORTSTMNT03/1530954,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1530954?gameHash=40ecdfe6080da661,WCS,2020,,0,9/25/2020 7:42,1,10.19,9,Red,bot,micaO,oe:player:0ce788d020173e8e2e683515c31efda,INTZ,oe:team:bcb21457414eb9be1d27489ff7e8e59,Ashe,Lillia,Caitlyn,Akali,Thresh,Syndra,2084,0,1,3,10,14,18,0,0,0,0,0,0,0,0,0.4031,0.9213,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,16482,474.5298,0.282933,391.3532,216.5355,16,0.4607,14,0.4031,8,49,1.4107,11794,7267,209.2226,0.225375,11650,,272,241,31,19,0,7.8311,3204,3407,85,3404,3239,95,-200,168,-10,0,0,0,0,0,0,4753,5625,128,4890,5462,136,-137,163,-8,0,1,0,0,0,0
ESPORTSTMNT03/1530954,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1530954?gameHash=40ecdfe6080da661,WCS,2020,,0,9/25/2020 7:42,1,10.19,10,Red,sup,RedBert,oe:player:0c041d02ab7138f57164fafbc091b2d,INTZ,oe:team:bcb21457414eb9be1d27489ff7e8e59,Alistar,Lillia,Caitlyn,Akali,Thresh,Syndra,2084,0,0,6,8,14,18,0,0,0,0,0,0,0,0,0.4031,0.9213,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4786,137.7927,0.0821574,634.7505,1429.4338,61,1.7562,17,0.4894,23,96,2.7639,6781,2254,64.8944,0.0699053,6575,,44,44,0,0,0,1.2668,2121,2657,14,2039,2454,12,82,203,2,0,0,0,0,0,0,3097,3643,26,3144,3317,21,-47,326,5,0,1,0,0,0,1
